Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3
2900.877;56.288;0;25420;602201;0;0
2873.769;41.465;0;25421;602208;0;0
2840.253;27.57;0;25422;602215;0;0
2801.422;16.606;0;25423;602223;0;0
2823.913;16.899;0;25424;602230;0;0
2855.747;22.295;0;25425;602238;0;0
2890.945;35.726;0;25426;602245;0;0
2913.284;49.768;0;25427;602253;0;0
2930.696;72.112;0;25428;602260;0;0
2943.177;93.871;0;25429;602268;0;0
2949.579;98.999;0;25430;602275;0;0
2945.648;100;128;25431;602283;0;0
2939.29;100;128;25432;602290;0;0
2940.448;100;128;25433;602298;0;0
2942.575;100;128;25434;602306;0;0
2938.979;98.999;0;25435;602313;0;0
2935.559;98.999;0;25436;602321;0;0
2938.895;98.999;0;25437;602329;0;0
2936.87;98.999;0;25438;602336;0;0
2935.101;98.999;0;25439;602344;0;0
2941.49;98.999;0;25440;602352;0;0
2939.417;98.999;0;25441;602360;0;0
2936.764;98.999;0;25442;602368;0;0
2941.746;98.999;0;25443;602375;0;0
2934.569;97.07;0;25444;602383;0;0
2927.203;92.21;0;25445;602391;0;0
2933.547;93.895;0;25446;602399;0;0
2937.718;98.999;0;25447;602407;0;0
2932.702;98.193;0;25448;602415;0;0
2913.438;75.873;0;25449;602423;0;0
2898.86;59.438;0;25450;602431;0;0
2919.047;69.548;0;25451;602438;0;0
2925.826;96.117;0;25452;602447;0;0
2911.902;96.752;0;25453;602454;0;0
2910.041;90.867;0;25454;602462;0;0
2926.046;89.744;0;25455;602470;0;0
2936.294;94.115;0;25456;602478;0;0
2937.287;98.852;0;25457;602486;0;0
2937.544;98.999;0;25458;602494;0;0
2932.706;94.994;0;25459;602503;0;0
2929.425;94.53;0;25460;602511;0;0
2925.394;87.937;0;25461;602519;0;0
2913.07;86.447;0;25462;602527;0;0
2920.221;92.65;0;25463;602535;0;0
2934.869;96.093;0;25464;602543;0;0
2930.732;94.139;0;25465;602551;0;0
2925.435;93.431;0;25466;602559;0;0
2917.462;92.943;0;25467;602567;0;0
2915.414;92.674;0;25468;602575;0;0
2921.111;88.132;0;25469;602583;0;0
2928.628;87.912;0;25470;602591;0;0
2934.987;92.479;0;25471;602600;0;0
2929.932;92.479;0;25472;602608;0;0
